uri|display_name
"http://vivo.ufl.edu/individual/n1784659488"|"Kirby,Rachel P"
"http://vivo.ufl.edu/individual/n2141463169"|"Emptaz-Collomb,Jean G"
"http://vivo.ufl.edu/individual/n1268935832"|"Crawford,Eean R"
"http://vivo.ufl.edu/individual/n403546741"|"Garnsey,Allison L"
"http://vivo.ufl.edu/individual/n1157340344"|"Johnson,Anedra D"
"http://vivo.ufl.edu/individual/n410086657"|"Jackson,Nancy"
"http://vivo.ufl.edu/individual/n1313706551"|"Husseneder,Claudia"
"http://vivo.ufl.edu/individual/n494115958"|"Lester,Mary E"
"http://vivo.ufl.edu/individual/n1663793684"|"Williams,Dean A"
"http://vivo.ufl.edu/individual/n439454549"|"Jeffries,William L,IV"
"http://vivo.ufl.edu/individual/n1798020558"|"Meyer,Michal"
"http://vivo.ufl.edu/individual/n1750344225"|"Caton,Tyler D"
"http://vivo.ufl.edu/individual/n1203720564"|"Han,Ye"
"http://vivo.ufl.edu/individual/n1303754795"|"Kang,Huaizhi"
"http://vivo.ufl.edu/individual/n675696442"|"Massery,Laurie A"
"http://vivo.ufl.edu/individual/n947340970"|"King,Dan C"
"http://vivo.ufl.edu/individual/n1218417698"|"Talton,James D"
"http://vivo.ufl.edu/individual/n1607110019"|"Eger,Joseph E"
"http://vivo.ufl.edu/individual/n1378967583"|"Frey,Jonathan C"
"http://vivo.ufl.edu/individual/n1876011076"|"Wangle,Amber Marlene"
"http://vivo.ufl.edu/individual/n1542174029"|"Hwang,Jooyun"
"http://vivo.ufl.edu/individual/n1975165939"|"Sharbaugh,Denise Mari"
"http://vivo.ufl.edu/individual/n789360742"|"Kitchen,Deeb Paul,II"
"http://vivo.ufl.edu/individual/n1151579353"|"Latch,Eric G"
"http://vivo.ufl.edu/individual/n811329690"|"Verma,Prakash"
"http://vivo.ufl.edu/individual/n1788988487"|"Ugalde,Israel C"
"http://vivo.ufl.edu/individual/n2069985712"|"Thakur,Garima"
"http://vivo.ufl.edu/individual/n610000768"|"Garcia-Saqui,Juanita"
"http://vivo.ufl.edu/individual/n1818973215"|"Grant,Daniel Thurmond"
"http://vivo.ufl.edu/individual/n1103886030"|"Galbreath,David Jerom"
"http://vivo.ufl.edu/individual/n242510625"|"McGowan,Kevin Patrick"
"http://vivo.ufl.edu/individual/n1812092915"|"Roberts,Brittany Lynn"
"http://vivo.ufl.edu/individual/n2101831040"|"Roscoe,Jill D"
"http://vivo.ufl.edu/individual/n86806559"|"Abraham,Linda Ayala"
"http://vivo.ufl.edu/individual/n641310325"|"Zhang,Zheling"
"http://vivo.ufl.edu/individual/n1737589318"|"Tan,Elaine S"
"http://vivo.ufl.edu/individual/n829497908"|"Stogner,John Mckenzie"
"http://vivo.ufl.edu/individual/n829497908"|"Stogner, John"
"http://vivo.ufl.edu/individual/n77420597"|"Fleurimond,Edrice"
"http://vivo.ufl.edu/individual/n1118731151"|"Tyler,Brian P"
"http://vivo.ufl.edu/individual/n2019035348"|"McCormick,Joel G"
"http://vivo.ufl.edu/individual/n84917319"|"Farrell,Meagan Tara"
"http://vivo.ufl.edu/individual/n1013110182"|"Wilson,Reginald L"
"http://vivo.ufl.edu/individual/n2102004179"|"Taub,Gordon N"
"http://vivo.ufl.edu/individual/n466251411"|"Metler,Russ P"
"http://vivo.ufl.edu/individual/n1666622178"|"Qin,Yan"
"http://vivo.ufl.edu/individual/n189935134"|"Minor,Melissa D"
"http://vivo.ufl.edu/individual/n345636114"|"Nghiem,Khanh Ngoc"
"http://vivo.ufl.edu/individual/n1732316115"|"Cruse-Sanders,Jenny"
"http://vivo.ufl.edu/individual/n543095448"|"Francolin,Camila C"
"http://vivo.ufl.edu/individual/n2039867864"|"Choti,Jonathan Nyabut"
"http://vivo.ufl.edu/individual/n565038803"|"Hao,He"
"http://vivo.ufl.edu/individual/n1313627012"|"Gianelli,Christopher"
"http://vivo.ufl.edu/individual/n1718436836"|"Barnsfather,Samantha"
"http://vivo.ufl.edu/individual/n1189756379"|"Bevis,Jared Michael"
"http://vivo.ufl.edu/individual/n805052321"|"Giancaspro,David J"
"http://vivo.ufl.edu/individual/n430023553"|"Kulkarni,Deepika P"
"http://vivo.ufl.edu/individual/n495333937"|"Giordano,Kevin P"
"http://vivo.ufl.edu/individual/n85932946"|"Plant,Nathaniel Grang"
"http://vivo.ufl.edu/individual/n840393100"|"Woodard,Jacqueline K"
"http://vivo.ufl.edu/individual/n741320033"|"Garraffo,Francesco Ma"
"http://vivo.ufl.edu/individual/n2066141531"|"Zhang,Sung-Uk"
"http://vivo.ufl.edu/individual/n629358528"|"Hiramatsu,Takashi"
"http://vivo.ufl.edu/individual/n385502337"|"Scanga,Micah D"
"http://vivo.ufl.edu/individual/n743244427"|"Obrien,Bridgette"
"http://vivo.ufl.edu/individual/n1035180678"|"Duncan,Christina Mari"
"http://vivo.ufl.edu/individual/n1124002973"|"Martin,Charles Mark"
"http://vivo.ufl.edu/individual/n147601335"|"Velat,Steven James"
"http://vivo.ufl.edu/individual/n2094386920"|"Cerge,Brandon M"
"http://vivo.ufl.edu/individual/n25047"|"Dwyre,Denis"
"http://vivo.ufl.edu/individual/n825754524"|"Ho,Ya-yu"
"http://vivo.ufl.edu/individual/n279416290"|"Twitchell,James B"
"http://vivo.ufl.edu/individual/n1304744955"|"Gomes,Marcos Emanuel"
"http://vivo.ufl.edu/individual/n802294634"|"Varshovi,Allan A"
"http://vivo.ufl.edu/individual/n1313721650"|"Ye,Xiaojing"
"http://vivo.ufl.edu/individual/n601701143"|"Podkul,Timothy Eden"
"http://vivo.ufl.edu/individual/n2133473483"|"Reed,Timothy M"
"http://vivo.ufl.edu/individual/n1918998288"|"Schwartz,Brandon S"
